class,cor_1,cor_2,cor_3,cor_4,lat,long

0,0.7906249761581421,0.7947916388511658,0.4124999940395355,0.40625,0,0
0,0.7906249761581421,0.7947916388511658,0.4124999940395355,0.40625,0,0
0,0.7906249761581421,0.7947916388511658,0.4124999940395355,0.40625,0,0
0,0.7906249761581421,0.7947916388511658,0.4124999940395355,0.40625,0,0
0,0.7906249761581421,0.7947916388511658,0.4124999940395355,0.40625,0,0
0,0.741406261920929,0.7885416746139526,0.504687488079071,0.41458332538604736,0,0
67,0.7421875,0.7885416746139526,0.49687498807907104,0.41874998807907104,0,0
0,0.866406261920929,0.8177083134651184,0.2578125,0.3645833432674408,0,0
0,0.741406261920929,0.7885416746139526,0.504687488079071,0.41458332538604736,0,0
67,0.7421875,0.7885416746139526,0.49687498807907104,0.41874998807907104,0,0
0,0.866406261920929,0.8177083134651184,0.2578125,0.3645833432674408,0,0
0,0.741406261920929,0.7885416746139526,0.504687488079071,0.41458332538604736,0,0
67,0.7421875,0.7885416746139526,0.49687498807907104,0.41874998807907104,0,0
0,0.866406261920929,0.8177083134651184,0.2578125,0.3645833432674408,0,0
0,0.741406261920929,0.7885416746139526,0.504687488079071,0.41458332538604736,0,0
67,0.7421875,0.7885416746139526,0.49687498807907104,0.41874998807907104,0,0
0,0.866406261920929,0.8177083134651184,0.2578125,0.3645833432674408,0,0
0,0.741406261920929,0.7885416746139526,0.504687488079071,0.41458332538604736,0,0
67,0.7421875,0.7885416746139526,0.49687498807907104,0.41874998807907104,0,0
0,0.866406261920929,0.8177083134651184,0.2578125,0.3645833432674408,0,0
0,0.8617187738418579,0.8541666865348816,0.27031248807907104,0.28333333134651184,0,0
64,0.6734374761581421,0.831250011920929,0.40625,0.3375000059604645,0,0
0,0.8617187738418579,0.8541666865348816,0.27031248807907104,0.28333333134651184,0,0
64,0.6734374761581421,0.831250011920929,0.40625,0.3375000059604645,0,0
0,0.8617187738418579,0.8541666865348816,0.27031248807907104,0.28333333134651184,0,0
64,0.6734374761581421,0.831250011920929,0.40625,0.3375000059604645,0,0
0,0.859375,0.859375,0.28125,0.26875001192092896,0,0
67,0.675000011920929,0.8333333134651184,0.40937501192092896,0.3333333432674408,0,0
0,0.859375,0.859375,0.28125,0.26875001192092896,0,0
67,0.675000011920929,0.8333333134651184,0.40937501192092896,0.3333333432674408,0,0
0,0.859375,0.859375,0.28125,0.26875001192092896,0,0
67,0.675000011920929,0.8333333134651184,0.40937501192092896,0.3333333432674408,0,0
67,0.6781250238418579,0.8385416865348816,0.4000000059604645,0.3229166567325592,0,0
64,0.667187511920929,0.8385416865348816,0.37812501192092896,0.3229166567325592,0,0
0,0.866406261920929,0.8635416626930237,0.2671875059604645,0.2604166567325592,0,0
67,0.6781250238418579,0.8385416865348816,0.4000000059604645,0.3229166567325592,0,0
64,0.667187511920929,0.8385416865348816,0.37812501192092896,0.3229166567325592,0,0
0,0.866406261920929,0.8635416626930237,0.2671875059604645,0.2604166567325592,0,0
67,0.6781250238418579,0.8385416865348816,0.4000000059604645,0.3229166567325592,0,0
64,0.667187511920929,0.8385416865348816,0.37812501192092896,0.3229166567325592,0,0
0,0.866406261920929,0.8635416626930237,0.2671875059604645,0.2604166567325592,0,0
64,0.6640625,0.8479166626930237,0.359375,0.30416667461395264,0,0
67,0.6796875,0.8479166626930237,0.390625,0.30000001192092896,0,0
0,0.8695312738418579,0.8739583492279053,0.26093751192092896,0.24375000596046448,0,0
64,0.6640625,0.8479166626930237,0.359375,0.30416667461395264,0,0
67,0.6796875,0.8479166626930237,0.390625,0.30000001192092896,0,0
0,0.8695312738418579,0.8739583492279053,0.26093751192092896,0.24375000596046448,0,0
64,0.6640625,0.8479166626930237,0.359375,0.30416667461395264,0,0
67,0.6796875,0.8479166626930237,0.390625,0.30000001192092896,0,0
0,0.8695312738418579,0.8739583492279053,0.26093751192092896,0.24375000596046448,0,0
0,0.871874988079071,0.8791666626930237,0.25312501192092896,0.23333333432674408,0,0
64,0.6812499761581421,0.8583333492279053,0.38749998807907104,0.28333333134651184,0,0
67,0.682812511920929,0.8572916388511658,0.390625,0.28125,0,0
0,0.871874988079071,0.8791666626930237,0.25312501192092896,0.23333333432674408,0,0
64,0.6812499761581421,0.8583333492279053,0.38749998807907104,0.28333333134651184,0,0
67,0.682812511920929,0.8572916388511658,0.390625,0.28125,0,0
0,0.878125011920929,0.8843749761581421,0.23749999701976776,0.22708334028720856,0,0
67,0.684374988079071,0.8604166507720947,0.38749998807907104,0.2750000059604645,0,0
0,0.878125011920929,0.8843749761581421,0.23749999701976776,0.22708334028720856,0,0
67,0.684374988079071,0.8604166507720947,0.38749998807907104,0.2750000059604645,0,0
0,0.878125011920929,0.8843749761581421,0.23749999701976776,0.22708334028720856,0,0
67,0.684374988079071,0.8604166507720947,0.38749998807907104,0.2750000059604645,0,0
67,0.694531261920929,0.8541666865348816,0.3890624940395355,0.2916666567325592,0,0
67,0.694531261920929,0.8541666865348816,0.3890624940395355,0.2916666567325592,0,0
67,0.694531261920929,0.8541666865348816,0.3890624940395355,0.2916666567325592,0,0
67,0.703125,0.856249988079071,0.39375001192092896,0.2874999940395355,0,0
67,0.703125,0.856249988079071,0.39375001192092896,0.2874999940395355,0,0
67,0.703125,0.856249988079071,0.39375001192092896,0.2874999940395355,0,0
67,0.703125,0.856249988079071,0.39375001192092896,0.2874999940395355,0,0
67,0.7093750238418579,0.8520833253860474,0.4000000059604645,0.2958333194255829,0,0
67,0.7093750238418579,0.8520833253860474,0.4000000059604645,0.2958333194255829,0,0
67,0.703125,0.8572916388511658,0.38749998807907104,0.2854166626930237,0,0
67,0.703125,0.8572916388511658,0.38749998807907104,0.2854166626930237,0,0
67,0.703125,0.8572916388511658,0.38749998807907104,0.2854166626930237,0,0
67,0.699999988079071,0.8604166507720947,0.38749998807907104,0.27916666865348816,0,0
67,0.699999988079071,0.8604166507720947,0.38749998807907104,0.27916666865348816,0,0
67,0.699999988079071,0.8604166507720947,0.38749998807907104,0.27916666865348816,0,0
67,0.703125,0.8520833253860474,0.39375001192092896,0.2958333194255829,0,0
67,0.703125,0.8520833253860474,0.39375001192092896,0.2958333194255829,0,0
67,0.699999988079071,0.8531249761581421,0.38749998807907104,0.29374998807907104,0,0
67,0.699999988079071,0.8531249761581421,0.38749998807907104,0.29374998807907104,0,0
67,0.699999988079071,0.8531249761581421,0.38749998807907104,0.29374998807907104,0,0
67,0.6976562738418579,0.8541666865348816,0.38593751192092896,0.2916666567325592,0,0
67,0.6976562738418579,0.8541666865348816,0.38593751192092896,0.2916666567325592,0,0
67,0.6976562738418579,0.8541666865348816,0.38593751192092896,0.2916666567325592,0,0
67,0.6937500238418579,0.8520833253860474,0.390625,0.2958333194255829,0,0
67,0.6937500238418579,0.8520833253860474,0.390625,0.2958333194255829,0,0
67,0.6937500238418579,0.8520833253860474,0.390625,0.2958333194255829,0,0
67,0.6953125,0.8489583134651184,0.390625,0.3020833432674408,0,0
67,0.6953125,0.8489583134651184,0.390625,0.3020833432674408,0,0
67,0.6875,0.8510416746139526,0.375,0.2979166805744171,0,0
67,0.6875,0.8510416746139526,0.375,0.2979166805744171,0,0
0,0.882031261920929,0.8843749761581421,0.22968749701976776,0.22708334028720856,0,0
67,0.6929687261581421,0.8541666865348816,0.3828125,0.2916666567325592,0,0
0,0.882031261920929,0.8843749761581421,0.22968749701976776,0.22708334028720856,0,0
67,0.6929687261581421,0.8541666865348816,0.3828125,0.2916666567325592,0,0
0,0.882031261920929,0.8843749761581421,0.22968749701976776,0.22708334028720856,0,0
67,0.6929687261581421,0.8541666865348816,0.3828125,0.2916666567325592,0,0
